longTermAdminNm,longTermAdminSym,longTermAdminCd,hmPostNo,TelNo,siDoCd,siGunGuCd,detailAddr,ratingCd,ratingDate,ratingGrade,adminPttnName,longTermPeribRgtDt,StpRptDt,opRating,safeRating,rightRating,processRating,resultRating
행복한 집,14146000041,A03,,,,,,2018년 정기평가,2018-09-03,A,노인요양시설,2008-06-10,2005-11-08,96,98,81,91,92
대한간호노인요양원,14146000022,A03,,,,,,2018년 정기평가,2018-06-07,B,노인요양시설,2008-05-23,2007-08-17,93,98,100,75,92
아리실복지원,14146000260,A03,,,,,,2018년 정기평가,2018-06-18,C,노인요양시설,2010-04-12,2010-04-12,65,95,72,72,89
샤인빌시니어스(주),14146000013,A03,,,,,,2018년 정기평가,2018-03-21,B,노인요양시설,2008-05-08,2004-05-04,83,89,86,78,91
즐거운우리집,14146000354,A03,,,,,,2018년 정기평가,2018-03-27,A,노인요양시설,2012-11-01,2012-11-01,86,100,100,90,97
제일너싱홈,14146000023,A03,,,,,,2018년 정기평가,2018-05-08,A,노인요양시설,2008-05-27,2003-03-26,95,100,100,92,77
용인효사랑,14146000116,A03,,,,,,2018년 정기평가,2018-06-04,A,노인요양시설,2009-02-27,2009-02-27,78,94,95,99,87
작은손길공동체요양원,14146000047,A03,,,,,,2018년 정기평가,2018-07-05,C,노인요양시설,2008-06-10,2007-12-24,78,95,54,56,88
용인노인요양원,14146000006,A03,,,,,,2018년 정기평가,2018-07-02,B,노인요양시설,2008-04-28,2001-06-30,91,98,100,92,92
용인노인전문요양원,14146000261,A03,,,,,,2018년 정기평가,2018-07-02,A,노인요양시설,2010-04-14,2010-04-14,95,100,90,88,87
온누리요양센터,14146000005,A03,,,,,,2018년 정기평가,2018-10-04,A,노인요양시설,2008-04-28,2006-05-01,100,97,100,79,93
양지요양원,14146000239,A03,,,,,,2018년 정기평가,2018-05-30,A,노인요양시설,2010-03-03,2010-03-03,85,88,77,98,95
로뎀의 집,14146000125,A04,,,,,,2018년 정기평가,2018-05-09,C,노인요양공동생활가정,2009-03-31,2009-03-31,62,82,63,77,93
효봉원,14146000320,A04,,,,,,2018년 정기평가,2018-05-23,E,노인요양공동생활가정,2011-11-16,2011-11-16,35,56,40,29,88
용인해바라기요양원,14146000348,A04,,,,,,2018년 정기평가,2018-03-15,B,노인요양공동생활가정,2012-10-12,2012-10-12,92,90,86,80,97
용인평안요양원,14146000456,A04,,,,,,2018년 정기평가,2018-05-08,E,노인요양공동생활가정,2014-11-20,2014-11-20,57,65,45,35,97
사랑방노인요양원,14146000333,A03,,,,,,2018년 정기평가,2018-03-26,B,노인요양시설,2012-04-01,2012-04-01,85,87,100,81,86
동백어르신요양원,14146000240,A03,,,,,,2018년 정기평가,2018-07-09,A,노인요양시설,2010-03-03,2010-03-03,75,97,81,97,85
(주)원하트 노인전문요양센터,14146000389,A03,,,,,,2018년 정기평가,2018-04-18,B,노인요양시설,2013-08-08,2013-08-08,91,88,100,75,94
(주)무지개실버케어스,14146000385,A03,,,,,,2018년 정기평가,2018-07-26,C,노인요양시설,2013-07-22,2013-07-22,58,89,90,81,90
노블실버홈,14146000412,A03,,,,,,2018년 정기평가,2018-08-14,E,노인요양시설,2014-03-07,2014-03-07,80,87,45,51,78
새희망요양원,14146000513,A03,,,,,,2018년 정기평가,2018-04-16,B,노인요양시설,2016-01-04,2016-01-04,73,92,90,67,95
강남실버요양원,14146000365,A03,,,,,,2018년 정기평가,2018-05-23,C,노인요양시설,2013-04-01,2013-04-01,73,73,59,64,93
죽전엘림요양원,14146000522,A03,,,,,,2018년 정기평가,2018-03-12,D,노인요양시설,2016-02-23,2016-02-23,60,98,40,54,79
흥덕요양원,14146000560,A03,,,,,,2018년 정기평가,2018-04-04,D,노인요양시설,2016-12-01,2016-12-01,70,100,45,67,85
남부효요양원(희락),14146000274,A04,,,,,,2018년 정기평가,2018-06-11,D,노인요양공동생활가정,2010-08-25,2010-08-25,67,88,59,49,97
남부효요양원(화평),14146000297,A04,,,,,,2018년 정기평가,2018-06-11,C,노인요양공동생활가정,2011-03-15,2011-03-15,67,87,59,88,87
노인공동생활가정 가람,14146000498,A04,,,,,,2018년 정기평가,2018-05-31,E,노인요양공동생활가정,2015-08-10,2015-08-10,25,74,20,52,95
우리어르신요양센터,14146000359,A04,,,,,,2018년 정기평가,2018-05-04,E,노인요양공동생활가정,2013-02-01,2013-02-01,66,90,40,38,93
어르신요양센터,14146000362,A03,,,,,,2018년 정기평가,2018-06-27,C,노인요양시설,2013-03-01,2013-03-01,73,96,77,53,84
너싱홈 한솔,14146000310,A03,,,,,,2018년 정기평가,2018-06-05,B,노인요양시설,2011-06-12,2009-10-27,83,95,75,83,92
봄날실버요양원,14146000562,A03,,,,,,2018년 정기평가,2018-05-03,B,노인요양시설,2016-12-08,2016-12-08,75,95,90,76,94
수지성모요양원,14146000502,A03,,,,,,2018년 정기평가,2018-10-04,A,노인요양시설,2015-09-11,2015-09-11,86,95,100,100,87
서수지요양원,14146000396,A03,,,,,,2018년 정기평가,2018-03-08,A,노인요양시설,2013-09-25,2013-09-25,86,98,100,89,90
성은 실버케어스,14146000019,A03,,,,,,2018년 정기평가,2018-03-14,C,노인요양시설,2008-05-23,2008-04-03,91,90,59,100,92
송은요양원(죽전점),14146000018,A03,,,,,,2018년 정기평가,2018-03-29,C,노인요양시설,2008-05-23,2008-03-04,56,87,77,71,81
행복요양원,14146000256,A03,,,,,,2018년 정기평가,2018-05-25,D,노인요양시설,2010-03-15,2010-03-15,56,90,40,53,97
연화노인간호센터,14146000377,A03,,,,,,2018년 정기평가,2018-06-11,B,노인요양시설,2013-05-09,2013-05-09,66,81,63,90,89
실로암요양원,14146000452,A04,,,,,,2018년 정기평가,2018-06-15,E,노인요양공동생활가정,2014-10-13,2014-10-13,21,53,27,25,88
보림요양원(믿음),14146000370,A04,,,,,,2018년 정기평가,2018-04-05,D,노인요양공동생활가정,2013-04-09,2013-04-09,48,77,90,53,78
보림요양원(소망),14146000376,A04,,,,,,2018년 정기평가,2018-04-05,D,노인요양공동생활가정,2013-05-03,2013-05-03,44,77,63,53,82
보림요양원(사랑),14146000387,A04,,,,,,2018년 정기평가,2018-04-05,D,노인요양공동생활가정,2013-08-01,2013-08-01,55,82,86,58,64
(주)제이앤비케어서비스,31156000066,C01,,,,,,2019년 정기평가,2019-08-29,C,방문요양,2009-03-19,2009-03-19,79,80,70,74,100
에벤에셀재가센터,31156000248,C01,,,,,,2019년 정기평가,2019-09-17,E,방문요양,2017-10-25,2017-10-25,47,45,47,39,100
다정방문요양센터,31156000140,C01,,,,,,2019년 정기평가,2019-05-24,B,방문요양,2010-10-27,2010-10-27,71,100,79,78,100
미소지은 방문요양센터,31156000154,C01,,,,,,2019년 정기평가,2019-08-01,A,방문요양,2011-04-01,2011-04-01,91,100,95,93,100
엘림재가복지센타,31156000096,C01,,,,,,2019년 정기평가,2019-03-06,E,방문요양,2009-09-21,2009-09-21,76,75,75,59,94
사회적협동조합 가가호호돌봄센터,21156000204,B01,,,,,,2019년 정기평가,2019-03-22,B,방문요양,2015-01-05,2015-01-05,90,100,75,81,92
행복복지센터,31156000196,C01,,,,,,2019년 정기평가,2019-03-12,A,방문요양,2014-05-29,2014-05-29,70,100,100,93,92
(주)감사하는사람들노인복지센터,21156000212,B01,,,,,,2019년 정기평가,2019-06-27,C,방문요양,2015-06-24,2015-06-24,67,90,70,73,100
사랑손노인복지센터,31156000034,C01,,,,,,2019년 정기평가,2019-03-11,C,방문요양,2008-07-15,2008-07-15,50,90,73,63,100
다비다재가장기요양보호기관,31156000026,C01,,,,,,2019년 정기평가,2019-06-17,D,방문요양,2008-06-27,2008-06-26,57,70,66,64,96
A+가정방문요양센터,31156000028,C01,,,,,,2019년 정기평가,2019-04-23,A,방문요양,2008-07-01,2008-07-01,95,90,100,97,100
영등포재가노인복지센터,21156000002,B01,,,,,,2019년 정기평가,2019-06-17,B,방문요양,2008-05-26,2008-04-29,83,90,61,83,100
A+신길노인복지센터,31156000238,C01,,,,,,2019년 정기평가,2019-05-24,B,방문요양,2017-01-27,2017-01-27,76,90,86,73,98
나누미방문요양센터,31156000048,C01,,,,,,2019년 정기평가,2019-08-01,A,방문요양,2008-10-20,2008-10-20,95,100,88,81,100
정나눔실버케어,31156000164,C01,,,,,,2019년 정기평가,2019-07-26,A,방문요양,2011-07-04,2011-07-04,91,100,91,82,100
곰달래재가노인복지센터,31156000230,C01,,,,,,2019년 정기평가,2019-03-11,D,방문요양,2016-10-14,2016-10-14,52,60,71,51,100
서울재가복지센터,31156000208,C01,,,,,,2019년 정기평가,2019-08-01,C,방문요양,2015-04-01,2015-04-01,70,70,78,70,100
큰사랑재가방문요양센터,31156000236,C01,,,,,,2019년 정기평가,2019-03-12,C,방문요양,2016-12-09,2016-12-09,66,100,78,73,100
시니어행복플러스,31156000232,C01,,,,,,2019년 정기평가,2019-07-26,C,방문요양,2016-11-01,2016-11-01,61,100,65,58,100
(사랑나눔)요양센터,31156000022,C01,,,,,,2019년 정기평가,2019-09-02,A,방문요양,2008-06-24,2008-06-23,95,100,100,84,90
OK재가복지센터,31156000234,C01,,,,,,2019년 정기평가,2019-09-03,C,방문요양,2016-11-02,2016-11-02,73,90,83,68,92
참사랑전문케어,31156000172,C01,,,,,,2019년 정기평가,2019-08-01,E,방문요양,2011-12-01,2011-12-01,69,55,57,56,100
행복복지센터,31156000196,C01,,,,,,2019년 정기평가,2019-03-12,B,방문목욕,2014-05-29,2014-05-29,67,100,100,89,100
(사랑나눔)요양센터,31156000022,C01,,,,,,2019년 정기평가,2019-09-02,A,방문간호,2008-06-24,2008-06-23,100,100,95,88,100
구립영등포노인케어센터 병설 엘림데이케어센터,21156000120,B03,,,,,,2019년 정기평가,2019-06-04,A,주야간보호,2010-02-26,2010-02-26,98,90,100,87,95
우리집데이케어센터,21156000130,B03,,,,,,2019년 정기평가,2019-04-08,B,주야간보호,2010-06-25,2008-08-25,93,91,91,68,95
구립영등포노인종합복지관병설데이케어센터,21156000046,B03,,,,,,2019년 정기평가,2019-04-22,B,주야간보호,2008-09-29,2008-09-29,88,93,91,77,95
구립당산데이케어센터,21156000188,B03,,,,,,2019년 정기평가,2019-10-02,A,주야간보호,2013-08-09,2013-08-09,93,98,97,91,100
스마일의료기,31156000226,C06,,,,,,2019년 정기평가,2019-09-03,A,복지용구,2016-05-10,2016-05-10,94,100,83,100,91
가정의료기,31156000178,C06,,,,,,2019년 정기평가,2019-04-23,B,복지용구,2012-04-02,2012-04-02,83,100,85,75,100
대한메디칼,31156000152,C06,,,,,,2019년 정기평가,2019-03-22,E,복지용구,2011-02-22,2011-02-22,17,100,50,0,91
헬스드림복지센터,31156000200,C01,,,,,,2019년 정기평가,2019-08-27,B,복지용구,2014-12-11,2014-12-11,85,100,82,75,83
가까운방문요양센터,31121500224,C01,,,,,,2019년 정기평가,2019-09-04,B,방문요양,2017-12-15,2017-12-15,75,90,95,80,100
광진어르신복지센터,21121500108,B01,,,,,,2019년 정기평가,2019-04-11,A,방문요양,2008-06-13,2009-08-26,91,90,86,87,92
늘푸른돌봄센터,21121500188,B01,,,,,,2019년 정기평가,2019-06-17,B,방문요양,2015-02-17,2015-02-17,95,100,79,75,92
행복노인복지센터,31121500046,C01,,,,,,2019년 정기평가,2019-03-15,E,방문요양,2009-04-24,2009-04-24,60,90,91,57,92
나눔재가장기요양기관,31121500190,C01,,,,,,2019년 정기평가,2019-09-04,B,방문요양,2015-04-30,2015-04-30,80,100,88,76,92
광진재가요양기관,31121500008,C01,,,,,,2019년 정기평가,2019-03-22,C,방문요양,2008-06-13,2008-06-13,79,90,70,62,98
스마일 청연 재가노인복지센터,31121500222,C01,,,,,,2019년 정기평가,2019-03-22,C,방문요양,2017-10-18,2017-10-18,66,70,69,66,78
열린재가노인지원서비스센터,21121500132,B01,,,,,,2019년 정기평가,2019-08-08,B,방문요양,2011-02-01,2011-02-01,88,90,82,88,98
기쁨을주는사람들,31121500186,C01,,,,,,2019년 정기평가,2019-09-16,E,방문요양,2015-01-16,2015-01-16,54,50,39,45,100
소망복지센터,31121500056,C01,,,,,,2019년 정기평가,2019-03-05,C,방문요양,2009-07-10,2009-07-10,80,100,54,65,100
우리네재가방문요양센터,31121500210,C01,,,,,,2019년 정기평가,2019-06-17,C,방문요양,2016-06-08,2016-06-08,71,80,75,75,100
행복드림복지센터,31121500058,C01,,,,,,2019년 정기평가,2019-03-05,A,방문요양,2009-07-17,2009-07-10,84,100,82,91,100
효사랑홈케어,31121500170,C01,,,,,,2019년 정기평가,2019-03-18,D,방문요양,2013-06-26,2013-06-26,77,60,70,51,100
가족사랑 노인복지센터,31121500166,C01,,,,,,2019년 정기평가,2019-05-28,B,방문요양,2013-03-29,2013-03-29,76,100,95,72,92
늘푸른돌봄센터,21121500188,B01,,,,,,2019년 정기평가,2019-06-17,B,방문목욕,2015-02-17,2015-02-17,92,90,65,75,100
더행복데이케어센터,21121500214,B03,,,,,,2019년 정기평가,2019-08-02,D,주야간보호,2016-09-30,2016-09-30,69,65,97,43,95
광진어르신복지센터,21121500108,B01,,,,,,2019년 정기평가,2019-04-11,A,주야간보호,2008-06-13,2009-08-26,87,95,100,87,97
광진섬김주간보호센터,31121500202,C03,,,,,,2019년 정기평가,2019-07-29,A,주야간보호,2015-12-03,2015-12-03,73,98,97,91,90
광진데이케어센터,21121500011,B03,,,,,,2019년 정기평가,2019-06-07,C,주야간보호,2008-06-30,2008-06-24,88,93,75,61,100
광진노인보호센터,21121500012,B01,,,,,,2019년 정기평가,2019-06-07,B,주야간보호,2008-06-30,2008-06-30,83,86,93,80,90
(주)광진재가복지센터 아차산점,31121500216,C03,,,,,,2019년 정기평가,2019-04-16,C,주야간보호,2016-12-01,2016-12-01,72,77,95,63,97
동부실버케어요양원,31121500162,C04,,,,,,2019년 정기평가,2019-09-19,C,단기보호,2013-02-08,2013-02-08,59,82,69,61,83
실버밸리노인단기보호센터,31121500164,C04,,,,,,2019년 정기평가,2019-09-30,C,단기보호,2013-03-01,2013-03-01,86,82,78,68,100
메디컬모터스,31121500042,C01,,,,,,2019년 정기평가,2019-03-25,C,복지용구,2009-03-31,2009-03-31,78,94,75,50,100
나눔재가장기요양기관,31121500190,C01,,,,,,2019년 정기평가,2019-09-04,C,복지용구,2015-04-30,2015-04-30,88,100,92,50,91
늘푸른건강의료기,31121500134,C06,,,,,,2019년 정기평가,2019-05-28,E,복지용구,2011-02-25,2011-02-25,63,25,67,18,100
바드림 노인복지센터,31123000028,C01,,,,,,2019년 정기평가,2019-07-26,A,방문요양,2008-08-01,2008-08-01,100,100,100,86,82
청솔노인복지센터,31123000184,C01,,,,,,2019년 정기평가,2019-09-04,B,방문요양,2015-02-02,2015-02-02,84,100,73,92,100
효플러스홈앤실버케어 재가노인복지센터,31123000240,C01,,,,,,2019년 정기평가,2019-09-03,D,방문요양,2016-08-25,2016-08-25,52,70,52,61,100
성산재가복지센터,31123000178,C01,,,,,,2019년 정기평가,2019-04-12,B,방문요양,2014-10-10,2014-10-10,83,100,96,82,90
희망노인복지센터,31123000132,C01,,,,,,2019년 정기평가,2019-08-20,C,방문요양,2012-02-01,2012-02-01,54,100,86,87,100
삼육서울병원재가노인복지센터,21123000108,B01,,,,,,2019년 정기평가,2019-06-25,A,방문요양,2010-10-15,2010-10-15,94,100,96,88,98
우리사랑 동대문방문요양센터,31123000084,C01,,,,,,2019년 정기평가,2019-03-12,B,방문요양,2010-01-22,2010-01-22,84,100,91,81,100
행복한노인요양센터,31123000082,C01,,,,,,2019년 정기평가,2019-03-07,A,방문요양,2010-01-12,2010-01-12,97,100,83,92,100
청도재가노인복지센터,31123000180,C01,,,,,,2019년 정기평가,2019-09-04,A,방문요양,2014-11-10,2014-11-10,85,100,86,88,96
동대문구노인복지센터,31123000164,C01,,,,,,2019년 정기평가,2019-03-06,B,방문요양,2013-12-30,2013-12-30,96,100,95,71,100
모심노인복지센터,31123000214,C01,,,,,,2019년 정기평가,2019-06-26,A,방문요양,2016-01-22,2016-01-22,85,80,100,92,82
은천방문요양센터,31123000017,C01,,,,,,2019년 정기평가,2019-08-23,A,방문요양,2008-06-27,2008-06-27,98,100,95,78,100
섬김이노인방문센터,31123000046,C01,,,,,,2019년 정기평가,2019-05-13,A,방문요양,2009-02-02,2009-02-02,100,90,75,92,100
참조은노인복지센터,31123000116,C01,,,,,,2019년 정기평가,2019-06-26,C,방문요양,2011-03-14,2011-03-14,95,100,88,97,100
효드림 재가요양센터,31123000040,C01,,,,,,2019년 정기평가,2019-04-18,C,방문요양,2008-10-31,2008-10-31,59,90,91,72,92
한울재가복지센터,31123000228,C01,,,,,,2019년 정기평가,2019-04-12,B,방문요양,2016-04-29,2016-04-29,72,80,83,73,94
은빛재가노인복지센터,31123000168,C01,,,,,,2019년 정기평가,2019-08-23,A,방문요양,2014-04-16,2014-04-16,78,100,82,92,100
나누리재가복지센터,31123000208,C01,,,,,,2019년 정기평가,2019-08-22,B,방문요양,2015-10-02,2015-10-02,100,100,88,73,100
홍제노인복지센터,31123000110,C01,,,,,,2019년 정기평가,2019-08-28,A,방문요양,2010-12-01,2010-12-01,89,100,86,90,100
이현애재가노인복지센터,31123000238,C01,,,,,,2019년 정기평가,2019-09-24,C,방문요양,2016-08-25,2016-08-25,70,70,76,81,92
사랑나눔노인복지센터,31123000118,C01,,,,,,2019년 정기평가,2019-03-12,A,방문요양,2011-03-21,2011-03-21,92,90,91,84,100
미소재가복지센터,31123000242,C01,,,,,,2019년 정기평가,2019-06-11,C,방문요양,2016-10-11,2016-10-11,58,100,100,82,98
무지개 재가 노인 방문요양센터,31123000196,C01,,,,,,2019년 정기평가,2019-03-07,D,방문요양,2015-06-15,2015-06-15,67,75,63,51,90
소풍재가복지센터,31123000122,C01,,,,,,2019년 정기평가,2019-04-08,C,방문요양,2011-07-18,2011-07-18,76,100,75,64,88
케어유방문요양복지센터,31123000210,C01,,,,,,2019년 정기평가,2019-08-28,B,방문요양,2015-11-04,2015-11-04,64,90,91,90,100
바드림 노인복지센터,31123000028,C01,,,,,,2019년 정기평가,2019-07-26,A,방문목욕,2008-08-01,2008-08-01,98,80,95,87,100
효플러스홈앤실버케어 재가노인복지센터,31123000240,C01,,,,,,2019년 정기평가,2019-09-03,D,방문목욕,2016-08-25,2016-08-25,59,65,56,73,100
행복한노인요양센터,31123000082,C01,,,,,,2019년 정기평가,2019-03-07,B,방문목욕,2010-01-12,2010-01-12,94,90,75,89,100
은천방문요양센터,31123000017,C01,,,,,,2019년 정기평가,2019-08-23,A,방문목욕,2008-06-27,2008-06-27,100,100,78,83,100
소망노인복지센터,31123000220,C01,,,,,,2019년 정기평가,2019-06-11,C,방문목욕,2016-02-19,2016-02-19,65,90,69,58,100
사랑나눔노인복지센터,31123000118,C01,,,,,,2019년 정기평가,2019-03-12,B,방문목욕,2011-03-21,2011-03-21,91,100,82,85,100
휘경데이케어센터,21123000003,B03,,,,,,2019년 정기평가,2019-06-25,A,주야간보호,2008-05-30,2002-01-02,91,95,91,88,87
삼육서울병원재가노인복지센터,21123000108,B01,,,,,,2019년 정기평가,2019-06-25,A,주야간보호,2010-10-15,2010-10-15,97,97,87,88,100
동대문노인종합복지관병설주간보호센터,21123000100,B03,,,,,,2019년 정기평가,2019-04-22,A,주야간보호,2010-06-23,2010-06-23,95,95,100,98,97
구립동안홍릉데이케어센터,21123000102,B03,,,,,,2019년 정기평가,2019-04-22,A,주야간보호,2010-07-19,2010-07-19,98,100,100,98,97
구립동안명성데이케어센터,21123000120,B03,,,,,,2019년 정기평가,2019-04-22,A,주야간보호,2011-05-02,2011-05-02,100,98,100,93,85
은천주간보호센터,21123000021,B03,,,,,,2019년 정기평가,2019-08-23,B,주야간보호,2008-06-30,2008-06-30,95,98,83,77,95
소풍데이케어센터,21123000236,B03,,,,,,2019년 정기평가,2019-04-08,B,주야간보호,2016-07-19,2016-07-19,75,84,100,82,90
은나무단기보호센터,21123000146,B04,,,,,,2019년 정기평가,2019-04-04,B,단기보호,2013-03-01,2013-03-01,83,91,92,83,100
바드림 복지용구,31123000165,C06,,,,,,2019년 정기평가,2019-03-06,A,복지용구,2013-12-30,2013-12-30,83,100,85,87,100
경동복지상사,31123000222,C06,,,,,,2019년 정기평가,2019-08-20,E,복지용구,2016-03-02,2016-03-02,60,100,60,37,83
웰케어강북,31123000212,C06,,,,,,2019년 정기평가,2019-09-03,A,복지용구,2015-11-25,2015-11-25,90,100,83,75,100
다사랑 노인재가센터,31129000200,C01,,,,,,2019년 정기평가,2019-05-24,B,방문요양,2015-08-20,2015-08-20,66,100,95,78,84
그린실버 복지센터,31129000204,C01,,,,,,2019년 정기평가,2019-07-18,C,방문요양,2015-10-01,2015-10-01,76,90,82,83,100
다선방문요양센터,31129000184,C01,,,,,,2019년 정기평가,2019-07-30,B,방문요양,2014-08-20,2014-08-20,84,100,86,75,92
(+α)동북홈케어서비스,31129000040,C01,,,,,,2019년 정기평가,2019-04-23,B,방문요양,2008-08-04,2008-08-04,94,90,86,72,92
천사방문재가노인복지센터,31129000208,C01,,,,,,2019년 정기평가,2019-09-03,D,방문요양,2015-12-01,2015-12-01,40,90,56,79,92
나누우리 노인복지센터,31129000186,C01,,,,,,2019년 정기평가,2019-03-06,C,방문요양,2014-10-20,2014-10-20,58,90,86,80,94
도움마루,31129000202,C01,,,,,,2019년 정기평가,2019-06-11,B,방문요양,2015-09-01,2015-09-01,76,100,78,75,100
서울재가복지센터,31129000228,C01,,,,,,2019년 정기평가,2019-06-11,B,방문요양,2016-09-26,2016-09-26,78,100,82,84,100
한성실버케어센터,31129000112,C01,,,,,,2019년 정기평가,2019-07-30,A,방문요양,2010-07-01,2010-07-01,95,100,78,94,100
은빛사랑 장기요양복지센터,31129000034,C01,,,,,,2019년 정기평가,2019-09-03,B,방문요양,2008-07-21,2008-07-21,85,100,73,90,100
A+국민요양복지센터,31129000218,C01,,,,,,2019년 정기평가,2019-03-26,A,방문요양,2016-05-15,2016-05-15,95,100,92,94,100
조이실버복지타운,31129000066,C01,,,,,,2019년 정기평가,2019-06-04,A,방문요양,2009-05-22,2009-05-22,76,100,88,82,100
더불어재가노인복지센터,31129000224,C01,,,,,,2019년 정기평가,2019-05-24,D,방문요양,2016-07-22,2016-07-22,59,100,56,42,100
사회복지법인 진각복지재단 진각홈케어 성북센터,21129000244,B01,,,,,,2019년 정기평가,2019-09-24,A,방문요양,2017-09-01,2017-09-01,97,100,86,90,100
선담 방문요양센터,31129000196,C01,,,,,,2019년 정기평가,2019-03-06,D,방문요양,2015-03-16,2015-03-16,53,45,71,51,100
두례노인요양보호센터,31129000214,C01,,,,,,2019년 정기평가,2019-06-04,A,방문요양,2016-02-19,2016-02-19,91,90,95,94,98
한마음노인요양센터,31129000054,C01,,,,,,2019년 정기평가,2019-06-04,C,방문요양,2008-12-23,2008-12-23,64,100,70,63,100
하늘의 별 방문요양센터,31129000160,C01,,,,,,2019년 정기평가,2019-03-26,B,방문요양,2013-06-03,2013-06-03,85,100,70,94,100
섬김노인복지센터,31129000060,C01,,,,,,2019년 정기평가,2019-04-15,B,방문요양,2009-03-04,2009-03-04,92,100,78,88,92
사랑나무재가복지센터,31129000132,C01,,,,,,2019년 정기평가,2019-04-15,A,방문요양,2011-06-02,2011-05-27,95,100,83,86,100
고운실버복지센터,31129000230,C01,,,,,,2019년 정기평가,2019-07-18,A,방문요양,2017-01-02,2017-01-02,79,100,100,96,92
알찬간호요양센터,31129000217,C01,,,,,,2019년 정기평가,2019-05-07,C,방문요양,2016-05-01,2016-05-01,50,95,80,81,92
행운재가노인복지센터,31129000222,C01,,,,,,2019년 정기평가,2019-06-04,C,방문요양,2016-07-18,2016-07-18,77,80,70,71,92
(+α)동북홈케어서비스,31129000040,C01,,,,,,2019년 정기평가,2019-04-23,D,방문목욕,2008-08-04,2008-08-04,100,80,73,47,100
길음종합사회복지관,31129000024,C02,,,,,,2019년 정기평가,2019-07-25,B,방문목욕,2008-06-27,2008-06-27,73,80,91,72,100
도움마루,31129000202,C01,,,,,,2019년 정기평가,2019-06-11,C,방문목욕,2015-09-01,2015-09-01,59,95,82,69,100
조이실버복지타운,31129000066,C01,,,,,,2019년 정기평가,2019-06-04,C,방문목욕,2009-05-22,2009-05-22,79,100,70,67,88
더불어재가노인복지센터,31129000224,C01,,,,,,2019년 정기평가,2019-05-24,D,방문목욕,2016-07-22,2016-07-22,66,85,56,48,100
사회복지법인 진각복지재단 진각홈케어 성북센터,21129000244,B01,,,,,,2019년 정기평가,2019-09-24,A,방문목욕,2017-09-01,2017-09-01,97,98,91,87,88
두례노인요양보호센터,31129000214,C01,,,,,,2019년 정기평가,2019-06-04,B,방문목욕,2016-02-19,2016-02-19,95,80,91,76,100
한마음노인요양센터,31129000054,C01,,,,,,2019년 정기평가,2019-06-04,C,방문목욕,2008-12-23,2008-12-23,70,100,79,62,100
알찬간호요양센터,31129000217,C01,,,,,,2019년 정기평가,2019-05-07,D,방문목욕,2016-05-01,2016-05-01,47,90,67,63,100
알찬간호요양센터,31129000217,C01,,,,,,2019년 정기평가,2019-05-07,C,방문간호,2016-05-01,2016-05-01,63,83,58,78,100
석관데이케어센터,21129000236,B03,,,,,,2019년 정기평가,2019-05-14,B,주야간보호,2017-03-07,2017-03-07,69,100,91,88,85
죽헌 미르데이센터(성북1호),21129000124,B03,,,,,,2019년 정기평가,2019-10-14,A,주야간보호,2010-11-05,2010-11-05,97,100,100,88,97
길음데이케어센터,21129000023,B03,,,,,,2019년 정기평가,2019-07-25,B,주야간보호,2008-06-27,2006-05-01,90,86,83,78,77
덕수노인복지센터,21129000005,B03,,,,,,2019년 정기평가,2019-09-30,A,주야간보호,2008-06-03,2008-05-30,95,97,89,85,97
시립성북노인종합복지관 주간보호센터,21129000044,B03,,,,,,2019년 정기평가,2019-10-17,C,주야간보호,2008-09-22,2008-09-11,83,83,66,65,77
정릉데이케어센터,21129000102,B03,,,,,,2019년 정기평가,2019-09-23,A,주야간보호,2010-02-25,2010-02-17,100,97,100,76,95
동소문데이케어센터,21129000175,B03,,,,,,2019년 정기평가,2019-04-15,A,주야간보호,2014-04-01,2014-04-01,81,100,100,100,90
은빛사랑 장기요양복지센터,31129000034,C01,,,,,,2019년 정기평가,2019-09-03,B,복지용구,2008-07-21,2008-07-21,73,100,82,68,91
노원실버사랑 간호요양센터,31135000092,C01,,,,,,2019년 정기평가,2019-09-05,A,방문요양,2009-05-06,2009-05-06,95,100,96,94,100
노원재가센터,21135000005,B01,,,,,,2019년 정기평가,2019-05-03,B,방문요양,2008-05-26,2013-04-05,90,100,65,84,100
성은노인재가센터,31135000386,C01,,,,,,2019년 정기평가,2019-07-15,B,방문요양,2017-02-25,2017-02-25,64,80,91,76,92
부자노인복지센터,31135000150,C01,,,,,,2019년 정기평가,2019-05-03,D,방문요양,2010-02-09,2010-02-09,78,90,60,45,100
햇살재가요양센터,31135000346,C01,,,,,,2019년 정기평가,2019-08-01,A,방문요양,2015-08-11,2015-08-11,85,100,82,89,100
재가복지센터 온누리,31135000100,C01,,,,,,2019년 정기평가,2019-03-11,A,방문요양,2009-05-29,2009-05-29,94,100,95,91,98
예은재가복지센터,31135000248,C01,,,,,,2019년 정기평가,2019-08-02,B,방문요양,2012-11-01,2012-10-30,88,90,79,70,100
희망씨앗 재가복지센터,31135000180,C01,,,,,,2019년 정기평가,2019-03-21,A,방문요양,2010-06-18,2010-06-18,96,100,75,89,100
효자재가복지센터,31135000266,C01,,,,,,2019년 정기평가,2019-08-16,E,방문요양,2013-06-01,2013-06-01,65,100,30,39,92
행복실버케어,31135000222,C01,,,,,,2019년 정기평가,2019-03-25,C,방문요양,2011-07-26,2011-07-26,89,90,58,88,100
